coin_id,symbol,name,current_price_usd,high_24h_usd,low_24h_usd,market_cap_usd,market_cap_rank,fully_diluted_valuation_usd,total_volume_usd,price_change_24h_usd,price_change_percentage_24h,market_cap_change_24h_usd,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_usd,ath_change_percentage,ath_date,atl_usd,atl_change_percentage,atl_date,last_updated,extraction_timestamp,price_to_ath_ratio,price_to_atl_ratio,market_cap_to_volume_ratio
bitcoin,BTC,Bitcoin,117104.0,119523.0,116787.0,2331326376014,1,2331329656988,52171641085,-1473.631297027503,-1.24276,-27587113205.811035,-1.16948,19895662.0,19895690.0,21000000.0,122838.0,-4.5539,2025-07-14 07:56:01.937000+00:00,67.81,172803.39442,2013-07-06 00:00:00+00:00,2025-07-22 04:46:30.122000+00:00,2025-07-22 04:46:34.429647,0.9533206336801315,1726.9429287715675,44.68570141805038
ethereum,ETH,Ethereum,3699.73,3848.92,3701.46,447148374525,2,447148374525,51892259537,-72.21627049990138,-1.91456,-8087545722.676392,-1.77656,120711486.2801501,120711486.2801501,,4878.26,-23.97554,2021-11-10 14:24:19.604000+00:00,0.432979,856447.91824,2015-10-20 00:00:00+00:00,2025-07-22 04:46:31.627000+00:00,2025-07-22 04:46:34.429647,0.7584118107685937,8544.825499620074,8.616860751769272
solana,SOL,Solana,198.6,203.56,185.42,107128054227,5,120608678668,31545249317,12.03,6.44678,6794626101.0,6.77205,538045999.8511733,605751850.65195,,293.31,-32.09182,2025-01-19 11:15:27.957000+00:00,0.500801,39672.82959,2020-05-11 19:35:23.449000+00:00,2025-07-22 04:46:27.241000+00:00,2025-07-22 04:46:34.429647,0.6770993147182162,396.56470334524084,3.396012285414647
cardano,ADA,Cardano,0.872656,0.929544,0.867618,31603086399,10,39333627499,2509958422,0.00406768,0.46831,205679534.0,0.65508,36155803021.66488,45000000000.0,45000000000.0,3.09,-71.61501,2021-09-02 06:00:10.474000+00:00,0.01925275,4451.13893,2020-03-13 02:22:55.044000+00:00,2025-07-22 04:46:31.476000+00:00,2025-07-22 04:46:34.429647,0.2824129449838188,45.32630403448858,12.591079645780683
